Zeit;Kanal A
(ms);(mV)

-23,79906158;-2,06877400
-23,79406158;-1,31643700
-23,78906158;-1,31643700
-23,78406158;-1,31643700
-23,77906158;1,31643700
-23,77406158;-1,69291300
-23,76906158;-0,75233760
-23,76406158;-1,12819900
-23,75906158;0,00000000
-23,75406158;0,18762300
-23,74906158;-0,75233760
-23,74406158;0,18762300
-23,73906158;0,00000000
-23,73406158;0,37586120
-23,72906158;0,37586120
-23,72406158;1,12819900
-23,71906158;0,37586120
-23,71406158;-0,18762300
-23,70906158;0,56409940
-23,70406158;-0,37586120
-23,69906158;0,18762300
-23,69406158;1,12819900
-23,68906159;1,50467500
-23,68406159;-0,37586120
-23,67906159;-0,93996060
-23,67406159;-0,18762300
-23,66906159;1,12819900
-23,66406159;0,37586120
-23,65906159;1,50467500
-23,65406159;0,75233760
-23,64906159;2,06877400
-23,64406159;-0,37586120
-23,63906159;0,93996060
-23,63406159;0,93996060
-23,62906159;0,93996060
-23,62406159;-0,18762300
-23,61906159;-1,31643700
-23,61406159;0,93996060
-23,60906159;0,00000000
-23,60406159;0,56409940
-23,59906159;0,75233760
-23,59406159;0,00000000
-23,58906159;1,12819900
-23,58406159;1,88053600
-23,57906159;-2,25701300
-23,57406159;0,56409940
-23,56906159;-1,31643700
-23,56406159;-2,06877400
-23,55906159;0,18762300
-23,55406159;-0,75233760
-23,54906159;-0,75233760
-23,54406159;-0,18762300
-23,53906159;-0,37586120
-23,53406159;-0,75233760
-23,52906159;-0,37586120
-23,52406159;0,56409940
-23,51906159;0,18762300
-23,51406159;0,37586120
-23,50906159;0,93996060
-23,50406159;-0,37586120
-23,49906159;1,12819900
-23,49406159;0,93996060
-23,48906159;-0,75233760
-23,48406159;0,56409940
-23,47906159;-1,31643700
-23,47406159;-0,37586120
-23,46906159;-1,12819900
-23,46406159;-0,37586120
-23,45906159;-1,31643700
-23,45406159;-0,56409940
-23,44906159;-2,44525100
-23,44406159;-0,75233760
-23,43906159;-3,00935000
-23,43406159;-1,31643700
-23,42906159;0,93996060
-23,42406159;-0,18762300
-23,41906159;-0,75233760
-23,41406159;0,00000000
-23,40906159;-0,18762300
-23,40406159;0,18762300
-23,39906159;0,56409940
-23,39406159;0,18762300
-23,38906159;0,56409940
-23,38406159;0,93996060
-23,37906159;-1,12819900
-23,37406159;0,37586120
-23,36906159;1,12819900
-23,36406159;-1,31643700
-23,35906159;-0,93996060
-23,35406159;-0,37586120
-23,34906159;-0,56409940
-23,34406159;-0,75233760
-23,33906159;-0,93996060
-23,33406159;0,37586120
-23,32906159;-1,69291300
-23,32406159;-1,88053600
-23,31906159;-0,18762300
-23,31406159;0,00000000
-23,30906159;-0,18762300
-23,30406159;-1,12819900
-23,29906159;-3,00935000
-23,29406160;-2,25701300
-23,28906160;-2,44525100
-23,28406160;-2,25701300
-23,27906160;-2,06877400
-23,27406160;-1,12819900
-23,26906160;0,37586120
-23,26406160;0,93996060
-23,25906160;-0,56409940
-23,25406160;-0,75233760
-23,24906160;-1,12819900
-23,24406160;-1,88053600
-23,23906160;-2,25701300
-23,23406160;-2,06877400
-23,22906160;-2,63348900
-23,22406160;-1,50467500
-23,21906160;-0,75233760
-23,21406160;-1,69291300
-23,20906160;-2,25701300
-23,20406160;-2,63348900
-23,19906160;-2,25701300
-23,19406160;-2,63348900
-23,18906160;-0,75233760
-23,18406160;-2,06877400
-23,17906160;-1,12819900
-23,17406160;-1,12819900
-23,16906160;-1,69291300
-23,16406160;-1,12819900
-23,15906160;-1,69291300
-23,15406160;-1,50467500
-23,14906160;-2,63348900
-23,14406160;-1,31643700
-23,13906160;-1,69291300
-23,13406160;-0,75233760
-23,12906160;-1,69291300
-23,12406160;-1,50467500
-23,11906160;-1,12819900
-23,11406160;-0,75233760
-23,10906160;-2,25701300
-23,10406160;-1,31643700
-23,09906160;-1,31643700
-23,09406160;-1,12819900
-23,08906160;-2,06877400
-23,08406160;-1,31643700
-23,07906160;-3,00935000
-23,07406160;-2,06877400
-23,06906160;-1,31643700
-23,06406160;-3,57345000
-23,05906160;-2,44525100
-23,05406160;-2,06877400
-23,04906160;-2,82111200
-23,04406160;-2,82111200
-23,03906160;-3,94992600
-23,03406160;-2,63348900
-23,02906160;-4,13816400
-23,02406160;-2,06877400
-23,01906160;-3,38582700
-23,01406160;-3,19758800
-23,00906160;-4,89050100
-23,00406160;-4,89050100
-22,99906160;-5,45460100
-22,99406160;-3,57345000
-22,98906160;-3,94992600
-22,98406160;-4,89050100
-22,97906160;-2,25701300
-22,97406160;-4,13816400
-22,96906160;-4,32640200
-22,96406160;-2,82111200
-22,95906160;-5,07874000
-22,95406160;-5,07874000
-22,94906160;-4,89050100
-22,94406160;-4,51402500
-22,93906160;-6,01931600
-22,93406160;-5,64283900
-22,92906160;-5,45460100
-22,92406160;-4,89050100
-22,91906160;-4,89050100
-22,91406160;-5,26697800
-22,90906160;-7,14751400
-22,90406160;-5,26697800
-22,89906160;-5,07874000
-22,89406161;-5,26697800
-22,88906161;-4,89050100
-22,88406161;-4,32640200
-22,87906161;-2,44525100
-22,87406161;-3,57345000
-22,86906161;-0,56409940
-22,86406161;-1,88053600
-22,85906161;-2,06877400
-22,85406161;-1,31643700
-22,84906161;-0,93996060
-22,84406161;-0,75233760
-22,83906161;-1,12819900
-22,83406161;0,56409940
-22,82906161;-1,12819900
-22,82406161;-1,31643700
-22,81906161;-1,69291300
-22,81406161;-1,31643700
-22,80906161;-2,63348900
-22,80406161;-3,00935000
-22,79906161;-3,19758800
-22,79406161;-3,00935000
-22,78906161;-3,19758800
-22,78406161;-2,63348900
-22,77906161;-4,32640200
-22,77406161;-4,51402500
-22,76906161;-4,51402500
-22,76406161;-3,00935000
-22,75906161;-1,12819900
-22,75406161;-3,00935000
-22,74906161;-3,19758800
-22,74406161;-3,00935000
-22,73906161;-2,63348900
-22,73406161;-2,06877400
-22,72906161;-3,00935000
-22,72406161;-2,25701300
-22,71906161;-2,25701300
-22,71406161;-2,06877400
-22,70906161;-3,38582700
-22,70406161;-2,25701300
-22,69906161;-3,00935000
-22,69406161;-3,57345000
-22,68906161;-5,26697800
-22,68406161;-3,00935000
-22,67906161;-3,00935000
-22,67406161;-2,82111200
-22,66906161;-3,57345000
-22,66406161;-4,70226400
-22,65906161;-4,51402500
-22,65406161;-3,57345000
-22,64906161;-3,19758800
-22,64406161;-3,76168800
-22,63906161;-5,07874000
-22,63406161;-3,19758800
-22,62906161;-3,00935000
-22,62406161;-3,76168800
-22,61906161;-3,94992600
-22,61406161;-2,82111200
-22,60906161;-3,19758800
-22,60406161;0,00000000
-22,59906161;-1,69291300
-22,59406161;-1,31643700
-22,58906161;-0,75233760
-22,58406161;-1,12819900
-22,57906161;0,00000000
-22,57406161;-2,06877400
-22,56906161;0,93996060
-22,56406161;0,18762300
-22,55906161;-1,12819900
-22,55406161;-2,44525100
-22,54906161;-1,88053600
-22,54406161;-0,75233760
-22,53906161;-0,75233760
-22,53406161;0,37586120
-22,52906161;-3,00935000
-22,52406161;-0,37586120
-22,51906161;0,18762300
-22,51406161;-0,56409940
-22,50906161;-0,18762300
-22,50406161;-1,12819900
-22,49906162;0,00000000
-22,49406162;2,06877400
-22,48906162;1,88053600
-22,48406162;1,50467500
-22,47906162;0,93996060
-22,47406162;-0,37586120
-22,46906162;0,93996060
-22,46406162;1,88053600
-22,45906162;0,18762300
-22,45406162;0,75233760
-22,44906162;0,18762300
-22,44406162;1,50467500
-22,43906162;0,18762300
-22,43406162;0,18762300
-22,42906162;0,56409940
-22,42406162;-1,31643700
-22,41906162;0,00000000
-22,41406162;0,93996060
-22,40906162;0,93996060
-22,40406162;0,00000000
-22,39906162;0,75233760
-22,39406162;1,12819900
-22,38906162;0,56409940
-22,38406162;-0,37586120
-22,37906162;0,75233760
-22,37406162;-0,37586120
-22,36906162;1,12819900
-22,36406162;0,18762300
-22,35906162;-1,12819900
-22,35406162;1,50467500
-22,34906162;0,56409940
-22,34406162;0,56409940
-22,33906162;0,37586120
-22,33406162;-0,56409940
-22,32906162;0,18762300
-22,32406162;0,00000000
-22,31906162;0,93996060
-22,31406162;-0,56409940
-22,30906162;-0,37586120
-22,30406162;0,56409940
-22,29906162;-0,75233760
-22,29406162;-1,50467500
-22,28906162;-0,37586120
-22,28406162;1,88053600
-22,27906162;0,93996060
-22,27406162;1,12819900
-22,26906162;0,93996060
-22,26406162;0,56409940
-22,25906162;1,88053600
-22,25406162;1,88053600
-22,24906162;3,00935000
-22,24406162;1,88053600
-22,23906162;1,12819900
-22,23406162;2,06877400
-22,22906162;1,50467500
-22,22406162;1,12819900
-22,21906162;1,69291300
-22,21406162;1,50467500
-22,20906162;1,69291300
-22,20406162;2,25701300
-22,19906162;1,88053600
-22,19406162;0,18762300
-22,18906162;1,50467500
-22,18406162;0,18762300
-22,17906162;0,93996060
-22,17406162;0,75233760
-22,16906162;0,18762300
-22,16406162;1,12819900
-22,15906162;1,50467500
-22,15406162;0,75233760
-22,14906162;0,56409940
-22,14406162;0,93996060
-22,13906162;-1,50467500
-22,13406162;0,75233760
-22,12906162;0,00000000
-22,12406162;1,88053600
-22,11906162;1,69291300
-22,11406162;3,00935000
-22,10906162;2,82111200
-22,10406163;0,75233760
-22,09906163;1,88053600
-22,09406163;1,50467500
-22,08906163;0,18762300
-22,08406163;1,50467500
-22,07906163;1,69291300
-22,07406163;1,31643700
-22,06906163;1,88053600
-22,06406163;0,75233760
-22,05906163;0,37586120
-22,05406163;0,56409940
-22,04906163;0,18762300
-22,04406163;1,69291300
-22,03906163;0,93996060
-22,03406163;1,50467500
