Zeit;Kanal A
(ms);(mV)

-25,00928477;1,88053600
-25,00428477;3,38582700
-24,99928477;2,44525100
-24,99428477;1,12819900
-24,98928477;2,06877400
-24,98428477;3,00935000
-24,97928477;0,93996060
-24,97428477;2,06877400
-24,96928477;1,50467500
-24,96428477;2,06877400
-24,95928477;2,25701300
-24,95428477;2,44525100
-24,94928477;2,44525100
-24,94428477;0,56409940
-24,93928477;2,06877400
-24,93428477;1,50467500
-24,92928477;0,93996060
-24,92428477;1,50467500
-24,91928477;2,44525100
-24,91428477;3,19758800
-24,90928477;2,44525100
-24,90428477;3,00935000
-24,89928477;0,93996060
-24,89428477;2,06877400
-24,88928477;2,82111200
-24,88428477;2,82111200
-24,87928477;2,82111200
-24,87428477;1,50467500
-24,86928477;3,00935000
-24,86428477;3,00935000
-24,85928477;2,63348900
-24,85428477;1,69291300
-24,84928477;2,44525100
-24,84428477;3,19758800
-24,83928477;3,38582700
-24,83428477;3,00935000
-24,82928477;3,57345000
-24,82428477;1,88053600
-24,81928477;1,31643700
-24,81428477;3,00935000
-24,80928477;3,76168800
-24,80428477;4,51402500
-24,79928477;1,88053600
-24,79428477;2,82111200
-24,78928477;2,82111200
-24,78428477;2,25701300
-24,77928477;2,44525100
-24,77428477;2,25701300
-24,76928477;2,63348900
-24,76428477;3,00935000
-24,75928477;4,70226400
-24,75428477;1,88053600
-24,74928477;3,00935000
-24,74428477;4,51402500
-24,73928477;1,12819900
-24,73428477;3,00935000
-24,72928477;0,93996060
-24,72428477;3,76168800
-24,71928477;1,69291300
-24,71428477;3,38582700
-24,70928477;2,63348900
-24,70428477;3,19758800
-24,69928477;1,88053600
-24,69428477;3,38582700
-24,68928477;2,06877400
-24,68428477;2,63348900
-24,67928477;2,06877400
-24,67428477;2,06877400
-24,66928477;3,19758800
-24,66428477;2,06877400
-24,65928477;3,94992600
-24,65428477;2,06877400
-24,64928478;2,82111200
-24,64428478;2,44525100
-24,63928478;3,00935000
-24,63428478;2,44525100
-24,62928478;2,06877400
