Zeit;Kanal A
(ms);(mV)

-25,00899905;3,00935000
-25,00399905;3,19758800
-24,99899905;1,31643700
-24,99399905;3,38582700
-24,98899905;3,00935000
-24,98399905;3,76168800
-24,97899905;3,19758800
-24,97399905;2,63348900
-24,96899905;4,32640200
-24,96399905;3,57345000
-24,95899905;3,19758800
-24,95399905;2,06877400
-24,94899905;1,69291300
-24,94399905;2,82111200
-24,93899905;3,57345000
-24,93399905;5,64283900
-24,92899905;2,63348900
-24,92399905;2,25701300
-24,91899905;2,82111200
-24,91399905;1,12819900
-24,90899905;1,69291300
-24,90399905;2,44525100
-24,89899905;1,88053600
-24,89399905;3,00935000
-24,88899905;4,51402500
-24,88399905;0,93996060
-24,87899905;2,25701300
-24,87399906;3,94992600
-24,86899906;0,18762300
-24,86399906;0,56409940
-24,85899906;4,51402500
-24,85399906;3,57345000
-24,84899906;2,25701300
-24,84399906;0,56409940
-24,83899906;1,88053600
-24,83399906;1,69291300
-24,82899906;1,50467500
-24,82399906;2,44525100
-24,81899906;1,12819900
-24,81399906;2,82111200
-24,80899906;2,82111200
-24,80399906;1,69291300
-24,79899906;1,12819900
-24,79399906;1,12819900
-24,78899906;1,69291300
-24,78399906;1,12819900
-24,77899906;3,38582700
-24,77399906;2,06877400
-24,76899906;0,56409940
-24,76399906;0,75233760
-24,75899906;1,31643700
-24,75399906;1,69291300
-24,74899906;2,25701300
-24,74399906;2,44525100
-24,73899906;3,19758800
-24,73399906;0,18762300
-24,72899906;0,93996060
-24,72399906;0,00000000
-24,71899906;3,19758800
-24,71399906;4,32640200
-24,70899906;3,00935000
-24,70399906;-0,56409940
-24,69899906;3,76168800
-24,69399906;0,18762300
-24,68899906;0,93996060
-24,68399906;0,18762300
-24,67899906;1,12819900
-24,67399906;-2,63348900
-24,66899906;-0,37586120
-24,66399906;1,12819900
-24,65899906;0,75233760
-24,65399906;2,82111200
-24,64899906;-0,93996060
-24,64399906;1,12819900
-24,63899906;0,18762300
-24,63399906;1,69291300
-24,62899906;0,93996060
